SampleID,Env
ERR4281358,5Y
ERR4281359,B
ERR4281361,12M
ERR4281362,3Y
ERR4281363,4M
ERR4281364,5Y
ERR4281365,B
ERR4281367,12M
ERR4281368,3Y
ERR4281369,4M
ERR4281370,5Y
ERR4281371,B
ERR4281374,12M
ERR4281375,3Y
ERR4281376,4M
ERR4281377,5Y
ERR4281378,B
ERR4281382,4M
ERR4281383,3Y
ERR4281384,4M
ERR4281385,B
ERR4281387,12M
ERR4281388,3Y
ERR4281389,4M
ERR4281390,5Y
ERR4281391,B
ERR4281394,12M
ERR4281396,3Y
ERR4281397,4M
ERR4281398,5Y
ERR4281399,B
ERR4281402,12M
ERR4281403,3Y
ERR4281404,4M
ERR4281405,5Y
ERR4281406,B
ERR4281409,12M
ERR4281410,3Y
ERR4281411,4M
ERR4281412,5Y
ERR4281413,B
ERR4281415,4M
ERR4281416,12M
ERR4281417,3Y
ERR4281418,4M
ERR4281419,5Y
ERR4281420,B
ERR4281423,12M
ERR4281424,3Y
ERR4281425,4M
ERR4281426,5Y
ERR4281427,B
ERR4281429,12M
ERR4281430,3Y
ERR4281431,4M
ERR4281432,5Y
ERR4281433,B
ERR4281435,12M
ERR4281436,3Y
ERR4281437,4M
ERR4281438,5Y
ERR4281439,12M
ERR4281440,3Y
ERR4281441,4M
ERR4281442,B
ERR4281444,12M
ERR4281445,3Y
ERR4281446,4M
ERR4281447,5Y
ERR4281448,B
ERR4281450,12M
ERR4281451,3Y
ERR4281452,4M
ERR4281453,5Y
ERR4281454,B
ERR4281456,12M
ERR4281457,3Y
ERR4281458,4M
ERR4281459,5Y
ERR4281460,B
ERR4281462,12M
ERR4281463,3Y
ERR4281464,4M
ERR4281465,5Y
ERR4281466,B
ERR4281468,12M
ERR4281469,3Y
ERR4281470,4M
ERR4281471,5Y
ERR4281472,B
ERR4281474,12M
ERR4281475,4M
ERR4281476,5Y
ERR4281477,3Y
ERR4281478,4M
ERR4281479,5Y
ERR4281480,B
ERR4281482,3Y
ERR4281483,4M
ERR4281484,5Y
ERR4281485,B
ERR4281487,12M
ERR4281488,3Y
ERR4281489,4M
ERR4281490,B
ERR4281492,3Y
ERR4281493,4M
ERR4281494,5Y
ERR4281495,12M
ERR4281496,3Y
ERR4281497,4M
ERR4281498,5Y
ERR4281500,12M
ERR4281501,4M
ERR4281502,12M
ERR4281503,3Y
ERR4281504,4M
ERR4281505,B
ERR4281507,12M
ERR4281508,3Y
ERR4281509,4M
ERR4281510,5Y
ERR4281511,B
ERR4281513,12M
ERR4281514,3Y
ERR4281515,4M
ERR4281516,5Y
ERR4281517,B
ERR4281519,12M
ERR4281520,4M
ERR4281521,B
ERR4281524,3Y
ERR4281525,4M
ERR4281526,5Y
ERR4281527,B
ERR4281529,B
ERR4281531,12M
ERR4281532,3Y
ERR4281533,4M
ERR4281534,5Y
ERR4281535,B
ERR4281539,12M
ERR4281540,4M
ERR4281541,B
ERR4281543,12M
ERR4281544,3Y
ERR4281545,4M
ERR4281546,5Y
ERR4281547,B
ERR4281549,12M
ERR4281550,3Y
ERR4281551,4M
ERR4281552,5Y
ERR4281553,B
ERR4281555,12M
ERR4281556,3Y
ERR4281557,4M
ERR4281558,B
ERR4281561,12M
ERR4281562,3Y
ERR4281563,4M
ERR4281564,5Y
ERR4281565,B
ERR4281567,4M
ERR4281568,B
ERR4281570,12M
ERR4281571,3Y
ERR4281572,4M
ERR4281573,5Y
ERR4281574,B
ERR4281576,12M
ERR4281577,3Y
ERR4281578,4M
ERR4281580,12M
ERR4281581,4M
ERR4281582,B
ERR4281585,12M
ERR4281586,12M
ERR4281587,3Y
ERR4281588,4M
ERR4281589,5Y
ERR4281590,B
ERR4281593,12M
ERR4281595,3Y
ERR4281596,4M
ERR4281597,5Y
ERR4281598,B
ERR4281600,12M
ERR4281601,4M
ERR4281602,B
ERR4281605,12M
ERR4281606,3Y
ERR4281607,4M
ERR4281608,5Y
ERR4281609,B
ERR4281613,B
ERR4281615,3Y
ERR4281616,4M
ERR4281617,5Y
ERR4281618,B
ERR4281622,3Y
ERR4281623,4M
ERR4281624,B
ERR4281627,3Y
ERR4281628,4M
ERR4281629,5Y
ERR4281630,B
ERR4281632,3Y
ERR4281633,4M
ERR4281634,5Y
ERR4281635,B
ERR4281637,3Y
ERR4281638,4M
ERR4281639,B
ERR4281641,12M
ERR4281642,B
ERR4281644,3Y
ERR4281645,4M
ERR4281646,5Y
ERR4281647,B
ERR4281649,3Y
ERR4281650,4M
ERR4281651,5Y
ERR4281652,B
ERR4281655,B
ERR4281656,12M
ERR4281657,3Y
ERR4281658,4M
ERR4281659,5Y
ERR4281660,B
ERR4281665,12M
ERR4281666,3Y
ERR4281667,4M
ERR4281668,B
ERR4281671,12M
ERR4281673,B
ERR4281675,12M
ERR4281676,4M
ERR4281678,4M
ERR4281679,B
ERR4281682,12M
ERR4281683,3Y
ERR4281684,4M
ERR4281685,5Y
ERR4281686,B
ERR4281688,3Y
ERR4281689,5Y
ERR4281690,B
ERR4281692,12M
ERR4281693,3Y
ERR4281694,4M
ERR4281695,5Y
ERR4281696,B
ERR4281698,12M
ERR4281699,3Y
ERR4281700,4M
ERR4281701,B
ERR4281705,3Y
ERR4281706,4M
ERR4281707,B
ERR4281917,12M
ERR4281918,3Y
ERR4281919,4M
ERR4281920,5Y
ERR4282067,12M
ERR4282079,3Y
ERR4282080,4M
ERR4282087,5Y
ERR4282097,B
ERR4282523,12M
ERR4282524,3Y
ERR4282525,4M
ERR4282526,B
ERR4282528,12M
ERR4282529,3Y
ERR4282530,4M
ERR4282531,5Y
ERR4282532,B
ERR4282534,12M
ERR4282535,4M
ERR4282541,12M
ERR4282542,4M
ERR4282543,B
ERR4282550,12M
ERR4282551,3Y
ERR4282552,5Y
ERR4282553,B
ERR4282555,12M
ERR4282556,3Y
ERR4282557,4M
ERR4282558,5Y
ERR4282562,12M
ERR4282563,4M
ERR4282593,4M
ERR4282609,4M
ERR4282610,5Y
ERR4282611,12M
ERR4282612,3Y
ERR4282613,4M
ERR4282614,5Y
ERR4282629,12M
ERR4282630,B
ERR4282637,12M
ERR4282638,3Y
ERR4282639,4M
ERR4282640,5Y
ERR4282641,B
ERR4282656,12M
ERR4282657,3Y
ERR4282658,5Y
ERR4282662,3Y
ERR4282681,12M
ERR4282682,3Y
ERR4282683,4M
ERR4282684,5Y
ERR4282697,12M
ERR4282698,3Y
ERR4282699,5Y
ERR4282702,12M
ERR4282703,3Y
ERR4282704,4M
ERR4282705,5Y
ERR4282719,3Y
ERR4282720,4M
ERR4282721,5Y
ERR4282722,B
ERR4282725,4M
ERR4282726,B
ERR4282740,12M
ERR4282741,3Y
ERR4282746,3Y
ERR4282747,5Y
ERR4282764,12M
ERR4282765,4M
ERR4282766,B
ERR4282768,12M
ERR4282769,3Y
ERR4282770,4M
ERR4282771,5Y
ERR4282772,B
ERR4282796,12M
ERR4282797,3Y
ERR4282798,4M
ERR4282799,5Y
ERR4282800,B
ERR4282815,12M
ERR4282816,3Y
ERR4282817,5Y
ERR4282845,12M
ERR4282846,3Y
ERR4282847,4M
ERR4282848,5Y
ERR4282850,12M
ERR4282851,3Y
ERR4282852,4M
ERR4282853,5Y
ERR4282854,B
ERR4282866,12M
ERR4282867,4M
ERR4282868,5Y
ERR4282869,B
ERR4282882,12M
ERR4282883,4M
ERR4282955,12M
ERR4282956,3Y
ERR4282957,5Y
